,base_market,quote_market,hedge_ratio,half_life,spread_mean,spread_std
0,SNX-USD,UNI-USD,0.427801957265089,12.0,-0.0011593323440000217,0.0708591883876197
1,XTZ-USD,ETC-USD,0.054666523798222566,12.0,0.00020537952481620737,0.021961645126570666
2,XTZ-USD,ZEC-USD,0.03039620161944178,20.0,0.0007378126333281336,0.03473310419307768
3,XTZ-USD,LINK-USD,0.1538247244479617,13.0,0.000443071648447518,0.023908739029839757
4,XTZ-USD,ATOM-USD,0.0995025736770032,5.0,8.383499997404663e-05,0.01343962967039692
5,XTZ-USD,YFI-USD,0.00013109154210717903,22.0,0.00044820336350274683,0.026594018895943136
6,XTZ-USD,COMP-USD,0.02618269856642784,7.0,0.00014142150135132482,0.015399743671905301
7,XTZ-USD,NEAR-USD,0.5721252592028363,8.0,0.0003001020340455775,0.016939502589155324
8,XTZ-USD,XMR-USD,0.007111693742672633,17.0,0.000435250396171008,0.03072711638908742
9,XTZ-USD,UMA-USD,0.5403163137293276,11.0,0.0005171990916781305,0.03384739021874701
10,XTZ-USD,SOL-USD,0.05366612339144933,11.0,0.0004308194555700404,0.0197841239363697
11,XTZ-USD,LTC-USD,0.012314989642920868,15.0,0.0011386909941113307,0.04184130735191609
12,XTZ-USD,UNI-USD,0.18702752929850067,22.0,0.000591465656635955,0.025248629783659625
13,XTZ-USD,MATIC-USD,1.0123858908359589,9.0,0.00021064505313509067,0.01711864857469841
14,XTZ-USD,AVAX-USD,0.06482439740021044,20.0,0.00038783914743184317,0.02448521897318454
15,ICP-USD,LINK-USD,0.6878692524788356,4.0,0.0004271481750268838,0.06097082302888271
16,ETC-USD,LINK-USD,2.8134710556144196,10.0,0.007286672017420676,0.3883383463979979
17,ETC-USD,TRX-USD,315.7489134348551,7.0,0.004301949957179927,0.3744946373434386
18,ETC-USD,COMP-USD,0.47886179667535717,6.0,0.0027385797400345797,0.28067080668485067
19,ETC-USD,ALGO-USD,94.88277780460096,20.0,0.020491060958734545,0.6144042030359889
20,ETC-USD,SUSHI-USD,19.02223967463115,17.0,0.01878777379794879,0.5452571069215948
21,ETC-USD,BTC-USD,0.0007331594899266637,8.0,0.00029531971099298806,0.27194606190104953
22,ETC-USD,DOT-USD,3.3055452881005616,9.0,0.006682173520668414,0.31301901982921293
23,ETC-USD,UNI-USD,3.420775360337594,11.0,0.009872746512967037,0.4093624379291848
24,ETC-USD,AVAX-USD,1.1857426758794067,9.0,0.004592806990781018,0.3014672419814995
25,ETC-USD,ETH-USD,0.011376939300548969,14.0,0.0063955799611258276,0.33348512638275735
26,ZEC-USD,CELO-USD,57.40745700790517,21.0,0.09586769520099432,1.6763335538521935
27,ZEC-USD,TRX-USD,567.6690207813431,7.0,0.0028562839252364797,0.7773106692436513
28,ZEC-USD,BTC-USD,0.0013180355400866585,11.0,-0.002252370349684491,0.7381095617856412
29,ZEC-USD,1INCH-USD,70.52226226748041,14.0,0.026156571296596896,0.9862120189607603
30,MKR-USD,TRX-USD,10499.56133397892,9.0,0.18104237847732482,14.538331318017649
31,MKR-USD,EOS-USD,584.9630389494254,20.0,0.4874318633872124,19.015845042249445
32,MKR-USD,SUSHI-USD,632.5197477192767,17.0,0.6891778123424415,20.52174780613756
33,MKR-USD,AVAX-USD,39.430403141221355,10.0,0.17269342719790978,11.49468242118847
34,MKR-USD,ETH-USD,0.3783102158580226,13.0,0.26112145020009714,13.912585793731097
35,ATOM-USD,BCH-USD,0.09002345731869754,9.0,0.0021250144619298673,0.18021533315169833
36,ATOM-USD,FIL-USD,2.006633753393678,6.0,0.002462883525934578,0.17105817901854944
37,ATOM-USD,COMP-USD,0.26311847454782095,5.0,0.0013247630656239879,0.1502498123650862
38,ATOM-USD,NEAR-USD,5.749279304405145,10.0,0.0032995170855381244,0.19025209833270032
39,ATOM-USD,XMR-USD,0.0714586145702419,21.0,0.005714381283570586,0.35557244377429503
40,ATOM-USD,UMA-USD,5.429876784210294,10.0,0.004972478065734323,0.33379449540911765
41,ATOM-USD,SOL-USD,0.5393192810661362,7.0,0.004005109709045227,0.18166686497997786
42,ATOM-USD,UNI-USD,1.8795757769654802,16.0,0.005396956608278783,0.22984039901825784
43,ATOM-USD,MATIC-USD,10.17370852779184,8.0,0.0021171839256164983,0.1743770735013973
44,BCH-USD,UMA-USD,60.29817529217869,15.0,0.06911743589559324,4.375787371182868
45,CELO-USD,XLM-USD,6.3582982284631395,22.0,0.0013738908131322033,0.03154946509341213
46,CELO-USD,SUSHI-USD,0.5948055916456053,16.0,-0.00017477818111504828,0.027558261737821978
47,CELO-USD,1INCH-USD,1.2264711040110485,17.0,-0.00017972626765026047,0.027789126543295278
48,CELO-USD,AVAX-USD,0.037062384011445716,21.0,-0.00036695123060847873,0.0296809569690701
49,CELO-USD,ETH-USD,0.0003556732034956367,19.0,-0.0004328196522712046,0.027268717020555437
50,FIL-USD,YFI-USD,0.0006565113196051946,10.0,0.0009857132288029747,0.10157855390122736
51,FIL-USD,COMP-USD,0.13111107416804005,5.0,-1.1842361728883812e-07,0.06875167056048109
52,FIL-USD,ALGO-USD,25.979095494901173,18.0,0.004764206965089624,0.1613808634819683
53,FIL-USD,XMR-USD,0.0356043233835785,20.0,0.0027027395860619195,0.1905766279174777
54,FIL-USD,SOL-USD,0.26874512434298947,6.0,0.0012499888198962417,0.07971625736787794
55,FIL-USD,LTC-USD,0.061661709605221646,18.0,0.005555151770861791,0.22136557272260338
56,FIL-USD,UNI-USD,0.9365874498575406,12.0,0.0020230745389028496,0.11033462287230379
57,TRX-USD,YFI-USD,7.591913591542458e-06,14.0,2.4381041912101335e-05,0.0015706424596761408
58,TRX-USD,EOS-USD,0.05570766122538718,10.0,3.551086607217395e-05,0.0014792664303640208
59,TRX-USD,ALGO-USD,0.30041630607281805,22.0,6.950421624246391e-05,0.002180514520442298
60,TRX-USD,XMR-USD,0.00041183580064576387,16.0,2.7447953098558013e-05,0.0019386704961233529
61,TRX-USD,SUSHI-USD,0.06023171419520222,22.0,6.000805159383706e-05,0.0018484225926443311
62,TRX-USD,ADA-USD,0.17276228906094507,17.0,7.511613686419451e-05,0.0020487503590296934
63,TRX-USD,BTC-USD,2.321450739453262e-06,8.0,1.8369755384525915e-06,0.0011078461153231768
64,TRX-USD,DOT-USD,0.010466243703454335,10.0,2.404556488781874e-05,0.0013140676342042656
