,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,ICP-USD,0.5329154058454759,19.0
1,SNX-USD,SUSHI-USD,2.422870593789545,13.0
2,ICP-USD,MATIC-USD,4.558611593724109,5.0
3,ETC-USD,ZEC-USD,0.5637354618999476,10.0
4,ETC-USD,DOGE-USD,271.7233722571866,12.0
5,ETC-USD,AVAX-USD,1.191636904336776,6.0
6,ZEC-USD,UMA-USD,17.35098845742326,7.0
7,ZEC-USD,DOGE-USD,481.9591556194357,7.0
8,ZEC-USD,ETH-USD,0.020511456218459227,12.0
9,BCH-USD,CELO-USD,207.93453465618936,7.0
10,BCH-USD,ZRX-USD,558.9775321492759,9.0
11,BCH-USD,COMP-USD,2.9214056267243627,7.0
12,CELO-USD,1INCH-USD,1.205201415351783,9.0
13,ENJ-USD,COMP-USD,0.00910462873497652,4.0
14,ENJ-USD,NEAR-USD,0.19868041568202785,4.0
15,RUNE-USD,ZRX-USD,6.119294767857344,9.0
16,RUNE-USD,NEAR-USD,0.6978460327743554,13.0
17,RUNE-USD,ALGO-USD,6.590875301641922,8.0
18,FIL-USD,TRX-USD,90.05049532423179,21.0
19,TRX-USD,YFI-USD,7.641087259175991e-06,15.0
20,TRX-USD,COMP-USD,0.0014898998152364255,12.0
21,TRX-USD,NEAR-USD,0.032509294353408505,15.0
22,TRX-USD,ALGO-USD,0.3070030784717348,17.0
23,TRX-USD,UMA-USD,0.031829865348054674,13.0
24,TRX-USD,DOT-USD,0.01060043993051871,16.0
25,TRX-USD,CRV-USD,0.06825028399159241,20.0
26,TRX-USD,AAVE-USD,0.0008634731879560941,19.0
27,TRX-USD,UNI-USD,0.010682421575580997,21.0
28,TRX-USD,MATIC-USD,0.05730041918526371,14.0
29,TRX-USD,1INCH-USD,0.12780014363112518,19.0
30,YFI-USD,MATIC-USD,7495.031788777122,23.0
31,COMP-USD,NEAR-USD,21.820068230858134,5.0
32,COMP-USD,UNI-USD,7.170185316769585,9.0
33,COMP-USD,MATIC-USD,38.45095293065324,12.0
34,EOS-USD,UMA-USD,0.5461029812795853,8.0
35,EOS-USD,ETH-USD,0.0006456256311047108,9.0
36,ALGO-USD,DOT-USD,0.03451677211109502,8.0
37,ALGO-USD,1INCH-USD,0.4162089796142235,10.0
38,UMA-USD,BTC-USD,7.703629026038414e-05,16.0
39,UMA-USD,SOL-USD,0.0972917541659632,14.0
40,UMA-USD,DOGE-USD,27.75005130275631,7.0
41,UMA-USD,ETH-USD,0.0011813185240909137,6.0
42,CRV-USD,UNI-USD,0.15650124675814892,7.0
43,DOGE-USD,ETH-USD,4.255381511728958e-05,12.0
